Course Code,Assignment,Mid Exam,Final Exam
COMP6047,0.2,0.3,0.5
COMP6048,0.15,0.35,0.5
COMP6099,0.3,0.3,0.4
COMP6119,0.3,0.3,0.4
COMP6120,0.3,0.3,0.4
COMP6122,0.25,0.35,0.4
COMP6125,0.3,0.3,0.4
COMP6140,0.3,0.3,0.4
COMP6144,0.25,0.35,0.4
COMP6153,0.25,0.35,0.4
COMP6175,0.3,0.3,0.4
COMP6176,0.3,0.3,0.4
COMP6178,0.3,0.3,0.4
COMP6200,0.2,0.3,0.5
COMP7066,0.3,0.3,0.4
COMP7084,0.25,0.35,0.4
COMP7116,0.3,0.3,0.4
COMP7117,0.3,0.3,0.4
COMP7126,0.25,0.35,0.4
COMP8108,0.25,0.35,0.4
CPEN6098,0.25,0.35,0.4
ISYS6123,0.3,0.3,0.4
ISYS6169,0.25,0.35,0.4
ISYS6200,0.25,0.35,0.4
ISYS6211,0.25,0.35,0.4
