transaction_id,quantity,item_id
1,2,11
1,2,15
2,3,3
2,1,4
2,3,5
2,4,11
2,1,13
2,,19
3,2,6
4,3,
5,4,11
5,2,12
6,5,3
7,4,1
7,3,9
7,1,13
,5,18
8,1,19
9,2,6
9,1,9
9,2,16
10,2,1
10,5,4
10,,9
10,3,17
11,5,14
13,3,14
14,,1
14,4,2
14,2,12
14,1,17
15,2,6
17,3,1
18,1,8
18,3,19
19,3,17
19,4,19
20,5,10
20,5,16
21,1,2
22,1,2
22,3,20
23,5,3
23,3,4
,4,17
25,2,7
25,5,9
25,4,15
26,1,2
26,3,10
27,4,6
27,3,
27,1,
27,3,20
28,3,6
28,2,7
28,4,9
29,2,17
29,1,18
30,4,2
30,2,19
31,1,15
31,2,18
32,2,2
32,3,20
34,1,2
34,5,8
36,2,2
36,2,14
36,2,15
36,5,18
37,5,8
38,1,9
38,2,11
39,5,13
39,3,15
39,3,17
,,17
40,4,9
42,5,3
42,3,3
42,3,15
42,4,17
43,3,12
43,4,14
46,4,7
46,4,
46,5,20
47,5,6
47,5,18
48,3,1
48,3,3
48,5,9
48,5,12
,4,7
49,1,9
50,3,4
50,1,7
50,5,16
